,n_countries,avg_abs_correlation,max_abs_correlation,granger_significance_rate,avg_granger_pvalue,n_granger_significant,avg_mutual_info,max_mutual_info,common_best_lag
gas_share_elec,19.0,0.6064359131036048,0.967910195021335,0.3684210526315789,0.2153742888378465,7.0,0.6997165554119452,1.2292373483976533,0.0
gas_elec_per_capita,19.0,0.7147910979842735,0.962870956435348,0.3684210526315789,0.1941851140307775,7.0,0.8590352138130578,1.3959904063837434,0.0
gas_energy_per_capita,19.0,0.8013355565050952,0.9811083668358382,0.42105263157894735,0.13446053508772543,8.0,1.3598209575665925,2.057639442415682,0.0
low_carbon_electricity,19.0,0.7581744045913715,0.9873248967104011,0.5263157894736842,0.1045441548050869,10.0,0.9886977198795808,1.8598890866935283,4.0
oil_electricity,19.0,0.57055715598669,0.9851376942429277,0.2631578947368421,0.23813129159980237,5.0,0.6367689243445531,1.4687343291276662,0.0
low_carbon_cons_change_pct,19.0,0.18538664276527184,0.5329095031419666,0.05263157894736842,0.47765051573989514,1.0,0.14300314266888794,0.3548034029226015,0.0
other_renewables_share_elec,19.0,0.785221051817939,0.9713689240824888,0.42105263157894735,0.14254417109753406,8.0,0.7936698818564146,1.5874162881942404,4.0
gas_share_energy,19.0,0.726651503147418,0.9801235550027992,0.2631578947368421,0.13847417494731265,5.0,1.1266750751693995,1.630584687045872,0.0
coal_share_energy,19.0,0.5046077130087351,0.9863857729658682,0.2631578947368421,0.2533392114655782,5.0,0.7560353527979587,1.7103763407782036,0.0
solar_share_elec,19.0,0.6095572877222629,0.8961051357218961,0.6842105263157895,0.05448822234494713,13.0,0.39711503161949535,0.7253874859481597,0.0
low_carbon_energy_per_capita,19.0,0.7289695242643445,0.9885641823181248,0.3684210526315789,0.12531351786651834,7.0,1.0538045796808715,2.071172660609917,0.0
nuclear_electricity,19.0,0.6150455975963143,0.9873236545746574,0.3157894736842105,0.20386603688876967,6.0,1.0171623987175766,1.8429587370570109,0.0
renewables_energy_per_capita,19.0,0.5956633207889673,0.9736400327004666,0.42105263157894735,0.17879823449619076,8.0,0.8143753975821144,2.019187922184501,0.0
nuclear_consumption,19.0,0.6150216933937164,0.9835637836161019,0.3157894736842105,0.21176344962285956,6.0,0.9924524676429803,1.8298500472534056,0.0
coal_cons_per_capita,19.0,0.7022188677504696,0.9974118970889871,0.2631578947368421,0.17920471457455456,5.0,1.104918264294777,2.331303019892819,0.0
renewables_cons_change_twh,19.0,0.27663652078479983,0.8816922666245841,0.3684210526315789,0.16790014677891232,7.0,0.24711821446551363,0.8606749432296434,0.0
solar_consumption,19.0,0.5160928375451719,0.8870336498812845,0.8947368421052632,0.04249574138151662,17.0,0.36917995424330247,0.6618106499641856,0.0
coal_production,19.0,0.700185251936523,0.9946228210631074,0.42105263157894735,0.16011636291101786,8.0,1.1397705533603535,2.3588184893574407,0.0
oil_energy_per_capita,19.0,0.6852344593766138,0.9947938816937576,0.42105263157894735,0.11380331395176825,8.0,1.0435611631033388,2.187981793097016,4.0
fossil_elec_per_capita,19.0,0.7541919280010557,0.9988221338079588,0.5263157894736842,0.175651008670545,10.0,1.1335999579746232,2.1821755175688544,0.0
solar_share_energy,19.0,0.524621060995311,0.8876854788699415,0.6842105263157895,0.06058165950021949,13.0,0.37491836333932393,0.6915488387114346,0.0
hydro_consumption,19.0,0.5542657218876239,0.9856839818539233,0.2631578947368421,0.2688139379399129,5.0,0.766387700888883,2.1599686104228164,0.0
