feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
oil_consumption,gdp,LSTM,19,1148576508834.5051,1534993962627.9697,60979404546.256454,7246635700938.574,9.745551777968513,7.270071558689903
oil_consumption,gdp,Bi-LSTM,19,1520712201884.4531,2456626842678.928,64076098194.05579,9450207878354.105,8.754995483391566,6.203963438525556
oil_consumption,gdp,ED-LSTM,19,1209018329353.9463,1703637714785.8577,78525890077.92809,8015551740775.945,8.924444544687839,6.433481068429781
oil_consumption,gdp,CNN,19,1300461578466.069,1703321056606.7522,90144411571.09079,7533683086782.668,9.462002368206836,6.3944582817434945
energy_cons_change_pct,gdp,ARIMA,19,363304589821.7039,681695985342.1708,30444656860.29928,2964971867760.7007,1.5087423052513371,1.08103787008151
energy_cons_change_pct,gdp,LSTM,19,2606855684674.2476,4392850396319.756,192856749355.50995,18531894536245.465,13.176363274878598,4.71310762169137
energy_cons_change_pct,gdp,Bi-LSTM,19,2618774998258.4985,4305808351070.5825,302232826623.6127,18181924442797.85,13.923358795008895,4.404347419385409
energy_cons_change_pct,gdp,ED-LSTM,19,2655040590919.483,4371214425550.7505,185228906448.9581,18649978543598.062,14.235955387744205,5.590278982308623
energy_cons_change_pct,gdp,CNN,19,2608958755021.2695,4341385584120.975,329241351896.84937,18661513431528.227,13.90427181647941,4.408435929525891
oil_cons_change_pct,gdp,ARIMA,19,612299638490.4706,1542247389186.259,27135015153.084404,6757573373258.063,1.6875237366443945,1.3237884558471427
oil_cons_change_pct,gdp,LSTM,19,2777494061768.926,4393968813435.38,410767785007.327,18528918627907.887,15.789248963519427,5.512870485793676
oil_cons_change_pct,gdp,Bi-LSTM,19,2650112449907.2773,4159043889761.197,370605836740.83484,17786895269397.887,15.640549020158678,5.985145646267951
oil_cons_change_pct,gdp,ED-LSTM,19,2692250947429.9946,4283598401704.413,414537939036.01154,18635506198143.77,15.845583980440132,5.998657603663171
oil_cons_change_pct,gdp,CNN,19,2703162392030.767,4251134929724.817,364570113829.3736,18242701475939.56,15.76946137251195,5.468548947370645
